Parameter;Type;Subtype;Calculated In;Description;Dependencies;Data type;Additional information
;;;;;;;
// Basic Model Parameters;;;;;;;
id;tec;Identifier;build_models_common.php;Unique identifier for a model;;Int;
name_id;tec;Identifier;build_models_common.php;Chart and time frame ID;;Int;id in DB chart_names table
bar_id;tec;Identifier;build_models_common.php;Main Reference Bar identifier (where the model is located);;Int;
Alg;calc;Classification;build_models_A1.php/build_models_A2.php;Algorithm number (1 or 2) that was used to identify the model;;Int: 1,2;
alt_old;calc;Classification;build_models_common.php;Old alternative model classification;;Int: 0 to 8;Depricated
alt;calc;Classification;build_models_common.php;Alternative model number (models with the same t4 but different properties);;Int: 0 to 8;Index 0  denotes base model 
_points;tec;Count;build_models_common.php;Model points count;;Includes list of points and their bar's numbers  in t#:# ,  t#:##, t#:###    , where t# - numbers of point and #, ##, ### -  bars numbers;The internal numbering begins from the bar of the main  reference point, which is the 1st (in Algorithm I) or 3rd (in Algorithm II) point of the model. The reference bar has the number 0. 
G1;calc;Classification;build_models_common.php;Primary model classification (EAM AM AM/DBM WEDGE etc.);;EM,DBM,AM,EAM,AM/DBM, EM/DBM,WEDGE, NA_7_2_2, NA_7_2_1_1;
v;tec;Direction;build_models_A1.php/build_models_A2.php;Direction of the model (high or low);;1,-1;The  index of model's direction (1 - is for ascending, -1 - is for descending)
;;;;;;;
// Models Reference Points;;;;;;;
_2;tec;Point;build_models_A1.php;Bar of the point confirming point 1 (atin);;Int;Bar of the point confirming point 1 (atin)
_3;tec;Point;build_models_A1.php;The previous extremum for point confirming point 2 (atin);;Int;The previous extremum for point confirming point 2 (atin)
t1;tec;Point;build_models_A1.php;Point 1 bar number (atin);;Int;
t2;tec;Point;build_models_A1.php/build_models_A2.php;Point 2 bar number (atin);;Int;
t2';tec;Point;build_models_A1.php;Point 2' bar number (atin);;Int;
t3;tec;Point;build_models_A1.php/build_models_A2.php;Point 3 bar number (atin);;Int;
t3-;tec;Point;build_models_A1.php;Former point 3 bar number (atin);;Int;This is a bar that was considered to be potential point 3, but later was rejected by  the algorithm
t3';tec;Point;build_models_A1.php/build_models_A2.php;Point 3' bar number (atin);;Int;
t3'??;tec;Point;build_models_A1.php;Point 3' of Auxialary Attraction Model bar number (atin);;Int;
t3'??5';tec;Point;build_models_A2.php;Point 3' for point 5' of Auxiliary Attraction Model bar number (atin);;Int;
t4;tec;Point;build_models_A1.php/build_models_A2.php;Point 4 bar number (atin);;Int;
t5;tec;Point;build_models_A1.php/build_models_A2.php;Point 5 bar number (atin);;Int;
t5';tec;Point;build_models_A1.php;Point 5' bar number (atin);;Int;
